Application Name,Application IDs,Reference
Azure ESTS Service,00000001-0000-0000-c000-000000000000,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Windows Azure Active Directory,00000002-0000-0000-c000-000000000000,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Office 365 Exchange Online,00000002-0000-0ff1-ce00-000000000000,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Microsoft Graph,00000003-0000-0000-c000-000000000000,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Office 365 SharePoint Online,00000003-0000-0ff1-ce00-000000000000,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Skype for Business Online,00000004-0000-0ff1-ce00-000000000000,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Microsoft Azure Workflow,00000005-0000-0000-c000-000000000000,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Yammer,00000005-0000-0ff1-ce00-000000000000,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Microsoft Office 365 Portal,00000006-0000-0ff1-ce00-000000000000,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
Dataverse,00000007-0000-0000-c000-000000000000,[Azure App IDs Security and Compliance - All Apps - Microsoft 365 App Certification Microsoft Learn](https://learn.microsoft.com/en-us/microsoft-365-app-certification/azure/azure-apps)
